Uruvunge rw’abatuye uwo mujyi 	The crowd of the people who live in that city
amuhamagara kuri telefone 	he called him on the phone 
Pawulo yakundaga Timoteyo “	Paul loved Timothy “
cyangwa ngo imenye aho ijya	or that it knows where it goes
Ngendahimana yashakaga ikaramu 	Ngendahimana was looking for a pen
che guevara yahuye n’umunyacubahiro raul castro	che guevara with his honorable raul castro
abakobwa bikigali nibeza 	kigali girls are beautfull 
verb igira indagihe n’inzagihe.	a verb has a past and present tense.
mu minyago ababuranyi bose bajya kurahira bakayimanika 	in captivity all the parties go to swear and hang it
Bityo yari ameze nk’utandukanye	So he seemed like he was different 
gufata umwanya 	To take time 
Kuva mumazi byatumye bamubona 	Getting out of the water made them see him
iyo rero umaze kwemera ko idini ryawe 	so once you have accepted that your religion
kuko nonsa abana banjye	Because I breastfeed my children
kwanga no kwica Umwami w’ubugingo;	hate and murder of the King of souls;
wicaye mu buryo butangaje	you are sitting in an amazing way 
Satani yari yaraciriweho	Satan had been condemned.
Urashaka kugura iki? 	What do you want to buy?
ushoboye iki  uretse kubyara.	what are you capable of except giving birth.
 ubwoba bw'abatizera.	 the fear of the unbelievers.
Inzobere zigaragaza ko ingaruka za Coronavirus ari nyinshi	Experts point out that the effects of Coronavirus are many
Ngutumye kubahumura amaso 	I send you to open their eyes 
Muyange arirukira munzu yabagabo 	Muyange is running into the men's home
Nyuma yo gusoma uyu mwandiko ni izihe nama ugiye gutanga 	After reading this text what advices are you going to give?
"Ariko sinita ku bugingo bwanjye,"	"But I do not care for my soul, "
Akunda gutunganya indabyo nziza. 	She like to prepare beautiful flowers.
"Inzobere mu by’imitekerereze y’abantu, "	an expert in psychology
"ni we mwana wo kurimbuka, "	he is the son of perdition
bakunda kurya 	they like to eat
Mu mpine byandikwa muri ubu buryo 	In abreviation it is written in this way
umuyaga n’umuhengeri bikomeza guhorera 	The wind and the waves continued blowing
ni ukizere ko Imana idukunda 	it is the belief that God loves us 
Yavuze ko azasura Jack hamwe na bashiki be. 	He said he will visit Jack and his sisters.
ushobora gukoresha intumwa muri business yawe 	you can use the Apostle in your business.
Garagaza uruhare rwa telefoni zigezweho 	Highlight the role of modern telephones 
Gukangurira abaturage be kubona inyubako nini	To sensitize his people to get bigger buildings
"Kizito avuga ukuntu ubwo imodoka yari irimo kugenda gacye,"	"Kizito then described how the car was moving slowly,"
Urebye muri urwo rwego rw'ubukungu 	if you look at this economic context
"Yakomeje kwica no gukiza, "	"He continued to kill and save, "
Amenya ijwi rya Petero	He knew Peter's voice
"igabaniriza abantu ingabano z’aho batuye, "	"it reduces the boundaries of human habitation, "
bari bafite imiryango migari 	They had large families
nyabugogo nayo n'umugezi munini 	Nyabugogo also is a large liver 
intego yawe nukuba umucuranzi wagitari 	your goal is to be a guitarist
Gihanga akomoka mu muryango wa kigwa	Gihanga is from the Kigwa family 
batumiye abanyamahanga murusengero 	they invited foreigners to church
Ikibazo cyawe nuko wemera ibyo Keza avuga byose. 	Your problem is that you agree with everything Keza says.
akoresheje impinduramatwara ze	using his revolution
Nimuhumure	don't worry
Intego zacu ku Mwami Hrothgar ni nziza	Our goals for King Hrothgar are great
"nta numwe muri bo wigeze amenyekana, "	no of them got known
" umuntu ushyitse, "	"a perfect person,"
Ndashaka kukubaza ibibazo bike. 	I want to ask you a few questions.
ibyiza yadukoreye kubera urukundo yari adufitiye	the good he did for us because of the love he has for us
"icyo bakunze,"	"what they like,"
uko amagufa y’umwana akurira munda y’umubyeyi	as the baby's bones grow in the mother's womb
Mwene wabo Yishe murumuna we 	his relative Killed his Brother
Tanga impuzanyito y’amagambo akurikira:	Give synonyms of the following words:
Nyuma yo kurwana cyane kandi hafi yo kwicwa numugore	After a long fight and almost being killed by a woman
kandi ngomba kuyoboka kwihangana	and I must learn to be patient
mu rwanda bakoresha telephone zigendanwa.	In Rwanda they use mobile phones.
 bari bashoboye kwigisha abandi ukuri	 they were able to teach the truth to others
"Imana mu burinzi bwayo iradukunda,"	"God in His protection loves us,"
twariye ibirayi nibishyimbo 	we ate beans and potatoes 
Ngiye kubavuganira kwa Data ari na we So. 	I am going to plead for you to Father who is also your Father.
Ikawa itangira gutanga umusaruro nyuma y’imyaka itanu	Coffee begins to be harvested after five years of cultivation;
Abahanga b’Abayahudi baturutse hirya no hino	Jewish scholars from all over the world 
Beowulf yavuze ko isaha ye yarabagiranaga	Beowulf said his watch was shiny
"Mu bihe byose ndetse n’ahantu hose, "	"At all times and in all places,"
Imana yemeye ko Yerusalemu irimburwa 	God allowed Jerusalem to be destroyed
Rimwe na rimwe rwose biba bisekeje	Sometimes it is funny 
Koresha neza buri jambo ryakoreshejwe mu mwandiko	use well of every word used in the text
yahuye n’abantu atari kuzashobora guhura nabo	he met people whom he would not have been able to meet
bisa nk’urusengero rufite igishushanyo cya Aritemi. 	it looks like a temple with a statue of Artemis.
Igenzura rigamije kureba aho ugeze ubishyira mu bikorwa 	supervision that aims to check the progress you have made putting it into action
"Kandi muri washington, ijwi numvise rirayunguruye"	"And in washington, the voice I heard was clear"
ku Ishuri rya Bweranyange babonye ko theo yari afite amategeko mashya 	at Bweranyange School they noticed that theo had new rules 
gukura umuntu mu gushidikanya 	to lift up a man from doubt 
"Ng'iyo inkomoko y'Abami b'Urwanda,"	"That is the origin of the Kings of Rwanda,"
Ahubwo yitaye ku nyigisho yari yarigishije. 	Instead he focused on the teachings he had taught.
yaririmbye  indirimbo-yintambara 	she sang a song of war
kuko urubuga rutari ruhari. 	because the Website was not there.
Umunyeshuri aza ku ishuri yahishe urumogi 	A student comes to school hiding drugs
Yarindaga ubuzima bwa shebuja 	He protected the life of his master 
 guhitamo ibyo uvuga n’uburyo ubivugamo 	to choose what you say and how you say it
"aba azi gukora, kandi afite ubushobozi "	"he has to know how to work, and has the ability"
aho mushobora kugurira ibitabo byayo byose 	where you can buy all of its books
	
ariko bikanga bikagaruka 	it returns anyways
n’ahandi hose bikamere uko.	and everywhere else it becomes like that
" mbonye ijuru rikingutse,"	 I saw heaven open up
ejo bundi navuye ku ishuri nsanga mama yagiye ku isoko	yesterday but one I came back from school and found that my mother had gone to the market
 Asanga iyo umuturage ahize umuhigo 	 He finds that when a citizen makes a vow 
Suge yahagaritswe na Polisi	suge was stopped by police 
"iyo wenda hakurya i Nyanza habaga habuze ibyo kurya,"	"if perhaps on the other side of Nyanza there was no food,"
biterwa nuko bamwakiriye 	it depends on how they welcome him .
nimwitonde mumenye uko mugirira aba bantu. 	be humble and know how to treat these people.
"nononsora amasomo y'umuziki, "	" analyze the music lessons, "
	
 kwizera amaraso ya Kristo.	 to trust the blood of Christ.
